City,Date,AQI_Bucket
Chennai,2019-08-04,Moderate
Thiruvananthapuram,2020-05-22,Good
Jaipur,2018-09-14,Moderate
Gurugram,2020-03-23,Moderate
Patna,2018-11-15,Very Poor
Coimbatore,2019-11-04,Moderate
Mumbai,2018-12-19,Moderate
Jaipur,2019-05-09,Poor
Patna,2018-10-12,Moderate
Thiruvananthapuram,2018-03-25,Satisfactory
Thiruvananthapuram,2018-11-11,Satisfactory
Lucknow,2019-05-29,Moderate
Delhi,2015-02-02,Very Poor
Amritsar,2019-05-22,Moderate
Thiruvananthapuram,2020-05-10,Satisfactory
Jorapokhar,2019-09-14,Good
Amaravati,2018-08-22,Satisfactory
Mumbai,2020-03-28,Satisfactory
Mumbai,2019-03-30,Moderate
Patna,2018-07-03,Satisfactory
Bengaluru,2019-07-05,Satisfactory
Delhi,2018-09-27,Moderate
Hyderabad,2016-12-27,Satisfactory
Delhi,2015-06-07,Poor
Delhi,2020-04-22,Moderate
Aizawl,2020-05-02,Good
Chennai,2018-07-12,Satisfactory
Hyderabad,2017-06-09,Satisfactory
Jaipur,2018-02-02,Moderate
Ahmedabad,2018-12-27,Severe
Jorapokhar,2018-07-19,Satisfactory
Bhopal,2019-09-22,Satisfactory
Ahmedabad,2018-06-28,Severe
Thiruvananthapuram,2017-08-01,Satisfactory
Delhi,2019-05-10,Very Poor
Hyderabad,2016-12-18,Satisfactory
Bengaluru,2018-10-17,Satisfactory
Ahmedabad,2020-04-07,Moderate
Ahmedabad,2018-01-04,Severe
Delhi,2016-12-22,Very Poor
Jaipur,2018-03-25,Moderate
Lucknow,2017-11-19,Very Poor
Ahmedabad,2015-09-07,Very Poor
Delhi,2018-03-06,Moderate
Visakhapatnam,2019-09-21,Satisfactory
Chennai,2017-01-04,Satisfactory
Chennai,2019-07-03,Moderate
Chennai,2017-01-12,Poor
Patna,2015-10-04,Moderate
Talcher,2019-10-28,Moderate
Hyderabad,2016-04-17,Moderate
Visakhapatnam,2020-04-27,Good
Ahmedabad,2019-12-03,Moderate
Amaravati,2019-05-28,Satisfactory
Visakhapatnam,2019-10-29,Satisfactory
Kolkata,2018-06-30,Good
Kolkata,2019-01-22,Severe
Patna,2019-03-02,Poor
Guwahati,2019-06-04,Satisfactory
Coimbatore,2019-12-25,Satisfactory
Patna,2020-05-07,Moderate
Chennai,2016-09-27,Satisfactory
Gurugram,2020-06-28,Moderate
Gurugram,2020-03-25,Satisfactory
Hyderabad,2018-03-19,Satisfactory
Jorapokhar,2018-03-14,Moderate
Gurugram,2020-01-07,Poor
Chennai,2019-02-23,Moderate
Lucknow,2015-12-06,Severe
Bengaluru,2020-06-15,Good
Chennai,2015-04-25,Moderate
Mumbai,2018-05-11,Satisfactory
Visakhapatnam,2017-03-19,Moderate
Kolkata,2019-02-19,Poor
Bhopal,2019-12-15,Moderate
Amaravati,2018-07-04,Satisfactory
Coimbatore,2020-03-25,Satisfactory
Ahmedabad,2017-11-24,Severe
Jaipur,2018-03-17,Moderate
Lucknow,2019-03-20,Poor
Jaipur,2019-04-18,Satisfactory
Jaipur,2019-08-02,Satisfactory
Chennai,2017-09-02,Satisfactory
Lucknow,2018-07-22,Satisfactory
Hyderabad,2017-08-08,Satisfactory
Ahmedabad,2015-08-08,Moderate
Delhi,2015-02-18,Very Poor
Patna,2019-12-08,Very Poor
Thiruvananthapuram,2020-01-10,Satisfactory
Jaipur,2019-04-07,Moderate
Chandigarh,2020-02-19,Moderate
Bengaluru,2016-09-29,Moderate
Ahmedabad,2020-04-24,Moderate
Mumbai,2019-08-23,Satisfactory
Delhi,2015-05-19,Very Poor
Visakhapatnam,2019-12-22,Moderate
Chennai,2018-01-17,Moderate
Lucknow,2020-04-02,Moderate
Mumbai,2020-01-12,Poor
Gurugram,2019-08-10,Satisfactory
Ahmedabad,2018-07-02,Very Poor
Hyderabad,2016-01-11,Moderate
Lucknow,2018-04-14,Satisfactory
Thiruvananthapuram,2020-01-07,Satisfactory
Bengaluru,2017-09-11,Satisfactory
Chennai,2017-11-06,Satisfactory
Patna,2018-07-01,Moderate
Delhi,2016-01-26,Severe
Ahmedabad,2018-06-09,Very Poor
Chennai,2018-07-31,Satisfactory
Lucknow,2016-02-28,Very Poor
Gurugram,2017-01-02,Severe
Patna,2018-11-25,Very Poor
Patna,2016-01-30,Severe
Gurugram,2019-08-29,Satisfactory
Jaipur,2017-08-25,Satisfactory
Amritsar,2019-09-01,Satisfactory
Patna,2019-05-11,Moderate
Chennai,2017-11-13,Moderate
Jaipur,2018-01-10,Poor
Talcher,2020-04-29,Moderate
Kolkata,2018-07-11,Good
Patna,2018-04-21,Very Poor
Kolkata,2019-06-17,Satisfactory
Amaravati,2020-06-19,Good
Visakhapatnam,2019-07-12,Moderate
Patna,2016-10-14,Poor
Patna,2016-12-20,Very Poor
Bengaluru,2019-06-15,Satisfactory
Gurugram,2017-03-24,Poor
Lucknow,2016-11-13,Very Poor
Ahmedabad,2015-04-12,Moderate
Bengaluru,2018-06-10,Satisfactory
Hyderabad,2018-07-25,Satisfactory
Patna,2019-01-17,Severe
Amaravati,2018-12-29,Moderate
Mumbai,2018-07-25,Satisfactory
Delhi,2015-05-14,Poor
Ahmedabad,2015-06-15,Poor
Ahmedabad,2018-03-10,Severe
Jaipur,2019-12-25,Moderate
Thiruvananthapuram,2019-09-13,Good
Chennai,2020-01-28,Satisfactory
Kolkata,2019-03-30,Satisfactory
Hyderabad,2019-01-19,Moderate
Delhi,2020-04-14,Moderate
Lucknow,2016-07-28,Good
Bengaluru,2018-12-03,Satisfactory
Amaravati,2018-03-31,Satisfactory
Talcher,2019-01-25,Moderate
Lucknow,2015-11-27,Severe
Jaipur,2019-04-12,Poor
Chennai,2019-08-07,Satisfactory
Bengaluru,2017-06-19,Good
Talcher,2019-06-12,Moderate
Thiruvananthapuram,2018-11-21,Satisfactory
Gurugram,2016-10-30,Very Poor
Gurugram,2016-06-02,Moderate
Talcher,2018-02-15,Poor
Mumbai,2018-07-22,Satisfactory
Guwahati,2020-02-11,Poor
Bengaluru,2017-06-24,Satisfactory
Bengaluru,2020-03-29,Satisfactory
Lucknow,2017-02-17,Very Poor
Mumbai,2018-05-09,Satisfactory
Lucknow,2016-03-29,Moderate
Hyderabad,2017-04-22,Moderate
Ahmedabad,2019-03-10,Poor
Ahmedabad,2019-03-24,Severe
Coimbatore,2020-03-18,Satisfactory
Chennai,2019-03-27,Satisfactory
Delhi,2019-12-16,Poor
Talcher,2018-03-28,Very Poor
Kochi,2020-03-22,Moderate
Jorapokhar,2017-05-18,Moderate
Thiruvananthapuram,2017-08-05,Satisfactory
Kochi,2020-04-06,Satisfactory
Kolkata,2019-07-22,Good
Bhopal,2020-05-06,Moderate
Delhi,2019-07-22,Moderate
Ahmedabad,2018-11-07,Severe
Chennai,2018-05-11,Satisfactory
Jorapokhar,2020-06-20,Moderate
Thiruvananthapuram,2019-07-15,Good
Gurugram,2018-05-01,Moderate
Kochi,2020-04-30,Satisfactory
Ahmedabad,2015-03-25,Severe
Amritsar,2018-06-15,Severe
Lucknow,2018-01-09,Severe
Patna,2016-01-14,Severe
Bengaluru,2020-05-10,Satisfactory
Lucknow,2015-10-30,Very Poor
Delhi,2016-01-17,Very Poor
Chennai,2015-11-09,Moderate
Amritsar,2019-01-12,Moderate
Gurugram,2019-12-31,Very Poor
Patna,2018-12-23,Severe
Hyderabad,2017-05-28,Satisfactory
Hyderabad,2016-08-12,Moderate
Visakhapatnam,2016-11-18,Moderate
Lucknow,2017-08-22,Satisfactory
Lucknow,2019-10-17,Poor
Jaipur,2019-02-02,Moderate
Chennai,2020-05-09,Satisfactory
Bengaluru,2020-05-19,Satisfactory
Brajrajnagar,2019-02-01,Moderate
Talcher,2019-04-13,Moderate
Chennai,2018-11-01,Satisfactory
Talcher,2019-01-05,Very Poor
Ahmedabad,2018-08-23,Severe
Hyderabad,2019-05-06,Moderate
Mumbai,2020-04-02,Satisfactory
Amaravati,2019-12-15,Satisfactory
Ahmedabad,2018-01-16,Severe
Kolkata,2019-10-08,Satisfactory
Brajrajnagar,2019-08-26,Moderate
Patna,2016-10-08,Moderate
Jorapokhar,2018-02-26,Moderate
Mumbai,2020-03-02,Moderate
Delhi,2015-10-22,Poor
Hyderabad,2017-11-05,Satisfactory
Patna,2016-09-17,Moderate
Chennai,2015-06-11,Moderate
Jorapokhar,2020-06-21,Moderate
Mumbai,2018-09-24,Moderate
Chennai,2015-09-13,Satisfactory
Chennai,2017-11-24,Moderate
Visakhapatnam,2019-12-09,Satisfactory
Amritsar,2018-05-11,Poor
Bengaluru,2016-09-22,Satisfactory
Delhi,2017-04-11,Very Poor
Hyderabad,2017-05-17,Moderate
Guwahati,2020-06-08,Good
Thiruvananthapuram,2018-06-03,Good
Talcher,2019-04-12,Moderate
Delhi,2016-12-04,Very Poor
Delhi,2015-10-11,Poor
Delhi,2018-05-01,Moderate
Gurugram,2018-06-01,Poor
Bengaluru,2016-09-25,Satisfactory
Lucknow,2017-07-08,Satisfactory
Gurugram,2018-10-02,Moderate
Brajrajnagar,2019-12-17,Satisfactory
Jaipur,2018-01-24,Moderate
Amritsar,2017-05-31,Satisfactory
Hyderabad,2018-06-08,Satisfactory
Ahmedabad,2016-09-18,Moderate
Brajrajnagar,2020-02-01,Moderate
Delhi,2015-10-29,Poor
Hyderabad,2017-01-03,Moderate
Thiruvananthapuram,2020-06-28,Good
Jorapokhar,2019-04-23,Satisfactory
Amritsar,2018-04-14,Moderate
Lucknow,2015-11-22,Severe
Chennai,2018-11-29,Satisfactory
Ahmedabad,2020-03-01,Severe
Lucknow,2018-10-29,Very Poor
Bhopal,2020-05-05,Moderate
Bengaluru,2019-01-01,Moderate
Gurugram,2016-11-23,Poor
Bengaluru,2018-03-19,Satisfactory
Chandigarh,2019-10-22,Moderate
Jaipur,2019-12-26,Moderate
Chennai,2016-11-03,Satisfactory
Delhi,2018-10-02,Moderate
Kolkata,2019-09-27,Good
Lucknow,2017-10-18,Very Poor
Mumbai,2019-12-24,Poor
Ahmedabad,2016-10-15,Very Poor
Bengaluru,2018-09-21,Satisfactory
Patna,2016-02-19,Poor
Brajrajnagar,2019-04-28,Poor
Chennai,2017-09-25,Moderate
Visakhapatnam,2017-11-20,Satisfactory
Jaipur,2019-09-01,Satisfactory
Hyderabad,2015-04-22,Moderate
Jaipur,2019-02-12,Moderate
Guwahati,2019-10-12,Satisfactory
Hyderabad,2017-04-11,Moderate
Chennai,2015-07-11,Poor
Kolkata,2020-04-28,Good
Chandigarh,2020-02-09,Moderate
Gurugram,2016-07-27,Satisfactory
Jorapokhar,2018-01-04,Moderate
Gurugram,2018-04-08,Moderate
Amaravati,2018-06-09,Satisfactory
Thiruvananthapuram,2018-08-21,Moderate
Brajrajnagar,2018-02-25,Poor
Lucknow,2017-02-24,Poor
Visakhapatnam,2018-11-15,Moderate
Delhi,2015-03-27,Poor
Patna,2016-10-04,Poor
Amritsar,2017-06-10,Satisfactory
Coimbatore,2020-02-12,Satisfactory
Delhi,2015-11-07,Severe
Chennai,2020-03-01,Satisfactory
Hyderabad,2017-10-20,Poor
Kolkata,2018-11-07,Very Poor
Ahmedabad,2015-09-11,Poor
Thiruvananthapuram,2019-01-16,Moderate
Hyderabad,2016-01-21,Moderate
Jaipur,2017-09-14,Moderate
Ahmedabad,2019-09-06,Severe
Chennai,2017-04-13,Satisfactory
Brajrajnagar,2019-07-08,Satisfactory
Delhi,2020-06-10,Moderate
Delhi,2017-08-20,Satisfactory
Hyderabad,2019-04-03,Moderate
Delhi,2019-01-29,Poor
Lucknow,2017-11-16,Very Poor
Bengaluru,2017-07-13,Satisfactory
Lucknow,2017-08-20,Moderate
Brajrajnagar,2018-04-17,Moderate
Lucknow,2019-11-12,Very Poor
Lucknow,2019-03-16,Moderate
Bengaluru,2020-04-06,Satisfactory
Jaipur,2019-02-22,Satisfactory
Kolkata,2018-07-19,Good
Hyderabad,2018-06-09,Satisfactory
Amritsar,2020-05-04,Satisfactory
Hyderabad,2018-06-27,Good
Brajrajnagar,2019-11-08,Moderate
Jorapokhar,2019-11-06,Moderate
Amaravati,2018-07-27,Satisfactory
Amaravati,2018-05-04,Good
Chennai,2016-11-13,Moderate
Gurugram,2020-02-25,Moderate
Amaravati,2018-04-22,Good
Patna,2016-01-29,Severe
Amritsar,2019-11-12,Poor
Ahmedabad,2019-06-13,Very Poor
Thiruvananthapuram,2020-04-11,Satisfactory
Lucknow,2017-03-12,Satisfactory
Chennai,2017-06-23,Satisfactory
Hyderabad,2018-05-21,Moderate
Talcher,2019-11-22,Poor
Bengaluru,2017-03-06,Satisfactory
Chandigarh,2020-03-11,Satisfactory
Jaipur,2019-10-07,Moderate
Jaipur,2017-08-28,Moderate
Hyderabad,2018-05-07,Satisfactory
Thiruvananthapuram,2018-10-08,Satisfactory
Jorapokhar,2019-11-17,Moderate
Jaipur,2019-10-20,Moderate
Lucknow,2018-03-12,Poor
Chennai,2018-01-05,Moderate
Talcher,2020-01-19,Very Poor
Hyderabad,2017-04-13,Moderate
Chennai,2015-05-04,Satisfactory
Ahmedabad,2018-02-21,Severe
Bhopal,2019-12-19,Moderate
Bengaluru,2018-12-08,Moderate
Jaipur,2018-03-05,Moderate
Jaipur,2018-10-10,Moderate
Kolkata,2020-02-02,Moderate
Lucknow,2019-09-01,Moderate
Gurugram,2020-01-10,Moderate
Amritsar,2020-05-31,Good
Delhi,2017-12-26,Very Poor
Patna,2019-01-07,Very Poor
Hyderabad,2018-10-25,Moderate
Amaravati,2020-06-21,Good
Gurugram,2016-09-18,Moderate
Gurugram,2016-12-08,Severe
Amritsar,2017-05-16,Moderate
Patna,2016-10-02,Moderate
Bhopal,2019-12-31,Moderate
Hyderabad,2019-12-16,Satisfactory
Ahmedabad,2019-03-16,Severe
Delhi,2015-06-27,Poor
Gurugram,2018-03-23,Moderate
Lucknow,2015-05-23,Moderate
Patna,2018-11-19,Very Poor
Gurugram,2017-11-21,Very Poor
Visakhapatnam,2020-06-26,Good
Visakhapatnam,2018-01-22,Moderate
Kolkata,2019-08-24,Satisfactory
Gurugram,2020-06-13,Moderate
Talcher,2018-07-29,Moderate
Talcher,2018-03-10,Very Poor
Jaipur,2017-12-16,Satisfactory
Thiruvananthapuram,2017-09-25,Satisfactory
Visakhapatnam,2020-01-14,Very Poor
Visakhapatnam,2019-10-01,Satisfactory
Talcher,2019-07-31,Satisfactory
Lucknow,2016-06-10,Moderate
Coimbatore,2020-05-12,Satisfactory
Jaipur,2019-08-24,Satisfactory
Talcher,2018-08-04,Moderate
Amaravati,2019-04-11,Satisfactory
Delhi,2020-03-22,Moderate
Chennai,2017-05-26,Moderate
Aizawl,2020-06-07,Good
Amaravati,2020-05-10,Good
Lucknow,2016-03-27,Moderate
Amaravati,2018-08-28,Satisfactory
Patna,2018-10-20,Poor
Jaipur,2019-11-20,Moderate
Visakhapatnam,2017-01-11,Moderate
Ahmedabad,2018-07-30,Severe
Delhi,2015-02-17,Very Poor
Ahmedabad,2019-10-31,Severe
Hyderabad,2017-04-25,Moderate
Lucknow,2018-03-23,Poor
Amritsar,2019-05-15,Moderate
Chandigarh,2019-10-12,Moderate
Jaipur,2019-06-05,Moderate
Brajrajnagar,2020-02-04,Moderate
Lucknow,2019-12-03,Poor
Lucknow,2018-07-24,Satisfactory
Jorapokhar,2018-02-17,Poor
Patna,2020-07-01,Satisfactory
Amritsar,2019-02-15,Satisfactory
Gurugram,2020-01-19,Poor
Talcher,2018-05-31,Moderate
Bengaluru,2016-05-08,Moderate
Amritsar,2019-09-16,Satisfactory
Visakhapatnam,2019-07-20,Satisfactory
Bengaluru,2017-06-17,Satisfactory
Lucknow,2017-03-02,Very Poor
Ahmedabad,2020-02-25,Severe
Bengaluru,2018-11-19,Satisfactory
Lucknow,2017-11-14,Severe
Delhi,2015-05-05,Severe
Kolkata,2018-08-21,Satisfactory
Bhopal,2019-12-09,Very Poor
Mumbai,2018-06-14,Satisfactory
Hyderabad,2019-07-13,Good
Bengaluru,2015-09-11,Satisfactory
Bhopal,2020-03-09,Satisfactory
Lucknow,2016-08-28,Satisfactory
Amaravati,2020-03-24,Good
Chennai,2016-10-27,Poor
Bengaluru,2015-10-20,Moderate
Talcher,2018-11-15,Very Poor
Jaipur,2019-08-13,Satisfactory
Visakhapatnam,2016-07-07,Satisfactory
Talcher,2018-10-18,Moderate
Thiruvananthapuram,2019-01-06,Moderate
Hyderabad,2015-09-24,Moderate
Bengaluru,2016-05-05,Satisfactory
Kolkata,2019-02-04,Very Poor
Gurugram,2018-02-13,Moderate
Hyderabad,2018-05-15,Satisfactory
Chennai,2019-09-21,Moderate
Lucknow,2016-12-14,Severe
Lucknow,2016-03-18,Moderate
Ahmedabad,2019-08-15,Severe
Delhi,2019-01-26,Poor
Hyderabad,2020-03-11,Satisfactory
Jaipur,2017-09-12,Moderate
Lucknow,2017-08-13,Satisfactory
Gurugram,2018-05-26,Poor
Visakhapatnam,2018-08-18,Satisfactory
Amaravati,2018-04-09,Satisfactory
Mumbai,2020-05-25,Satisfactory
Gurugram,2017-06-16,Poor
Chennai,2019-02-05,Moderate
Bengaluru,2019-07-19,Satisfactory
Amritsar,2017-04-01,Good
Patna,2019-04-17,Satisfactory
Chennai,2018-04-22,Satisfactory
Patna,2017-11-07,Poor
Bengaluru,2017-08-20,Satisfactory
Patna,2019-04-29,Moderate
Chandigarh,2019-11-30,Satisfactory
Hyderabad,2015-09-23,Poor
Delhi,2017-05-15,Very Poor
Visakhapatnam,2017-02-05,Poor
Aizawl,2020-06-25,Good
Aizawl,2020-05-20,Good
Talcher,2019-10-22,Satisfactory
Delhi,2018-06-26,Moderate
Chennai,2016-04-29,Moderate
Chennai,2017-09-15,Satisfactory
Brajrajnagar,2019-05-08,Moderate
Patna,2019-06-25,Satisfactory
Chennai,2019-10-26,Moderate
Chennai,2018-03-08,Moderate
Bengaluru,2018-02-06,Satisfactory
Mumbai,2020-01-30,Moderate
Amritsar,2018-12-31,Moderate
Ahmedabad,2019-05-30,Severe
Visakhapatnam,2018-03-04,Moderate
Bengaluru,2018-11-17,Satisfactory
Kolkata,2020-01-19,Moderate
Mumbai,2019-03-28,Moderate
Thiruvananthapuram,2018-08-06,Satisfactory
Jaipur,2019-03-29,Moderate
Delhi,2016-08-06,Moderate
Chennai,2018-10-19,Satisfactory
Amritsar,2019-12-17,Satisfactory
Thiruvananthapuram,2019-03-03,Satisfactory
Thiruvananthapuram,2018-10-30,Satisfactory
Bhopal,2020-05-01,Moderate
Jorapokhar,2020-01-23,Moderate
Jaipur,2019-12-23,Moderate
Amritsar,2020-02-12,Moderate
Lucknow,2019-02-25,Moderate
Patna,2019-01-08,Very Poor
Kolkata,2018-08-24,Satisfactory
Guwahati,2019-04-21,Satisfactory
Amritsar,2017-03-03,Satisfactory
Hyderabad,2019-03-13,Moderate
Visakhapatnam,2017-01-28,Moderate
Amaravati,2017-12-17,Poor
Ahmedabad,2017-11-22,Severe
Amaravati,2020-02-26,Satisfactory
Jorapokhar,2019-07-24,Moderate
Ahmedabad,2019-03-04,Poor
Delhi,2015-08-24,Moderate
Hyderabad,2016-09-22,Satisfactory
Kolkata,2020-06-20,Good
Guwahati,2019-05-12,Satisfactory
Jorapokhar,2017-06-21,Satisfactory
Delhi,2019-11-27,Moderate
Bengaluru,2016-09-02,Satisfactory
Jaipur,2020-06-16,Moderate
Ahmedabad,2019-11-14,Severe
Bengaluru,2019-03-05,Moderate
Mumbai,2020-05-06,Satisfactory
Brajrajnagar,2018-05-11,Moderate
Delhi,2017-07-31,Good
Amritsar,2020-05-13,Satisfactory
Delhi,2015-06-10,Very Poor
Ahmedabad,2018-08-01,Severe
Thiruvananthapuram,2019-04-01,Satisfactory
Gurugram,2018-11-28,Poor
Thiruvananthapuram,2017-11-22,Satisfactory
Delhi,2015-01-02,Severe
Chennai,2020-01-21,Satisfactory
Talcher,2019-04-30,Moderate
Lucknow,2018-01-03,Severe
Chandigarh,2020-01-21,Moderate
Lucknow,2015-10-25,Very Poor
Hyderabad,2019-06-22,Satisfactory
Bengaluru,2020-06-13,Good
Visakhapatnam,2019-05-26,Moderate
Chennai,2015-05-05,Moderate
Lucknow,2018-08-05,Poor
Delhi,2019-11-07,Poor
Bengaluru,2016-06-27,Good
Jorapokhar,2019-08-12,Satisfactory
Jorapokhar,2019-12-25,Poor
Thiruvananthapuram,2018-01-12,Moderate
Thiruvananthapuram,2020-02-07,Satisfactory
Jaipur,2018-12-10,Moderate
Kolkata,2019-07-24,Good
Guwahati,2019-07-03,Good
Ahmedabad,2015-06-07,Moderate
Visakhapatnam,2020-05-06,Good
Visakhapatnam,2017-04-07,Moderate
Mumbai,2020-05-18,Satisfactory
Brajrajnagar,2019-03-27,Moderate
Mumbai,2019-03-13,Moderate
Coimbatore,2019-06-27,Satisfactory
Aizawl,2020-03-27,Satisfactory
Bengaluru,2016-06-06,Good
Amritsar,2020-03-09,Satisfactory
Lucknow,2017-10-23,Very Poor
Patna,2016-02-14,Very Poor
Hyderabad,2016-10-13,Moderate
Delhi,2016-06-12,Poor
Lucknow,2015-09-07,Moderate
Jorapokhar,2018-10-04,Poor
Chennai,2018-03-03,Moderate
Guwahati,2019-11-20,Moderate
Gurugram,2020-05-26,Moderate
Ahmedabad,2019-05-08,Very Poor
Visakhapatnam,2020-03-21,Satisfactory
Hyderabad,2018-01-01,Moderate
Delhi,2017-05-26,Poor
Delhi,2018-04-04,Poor
Bhopal,2020-02-05,Moderate
Ahmedabad,2018-09-01,Severe
Delhi,2019-07-27,Satisfactory
Gurugram,2017-03-30,Poor
Hyderabad,2018-01-10,Moderate
Lucknow,2016-12-19,Very Poor
Ernakulam,2020-03-21,Satisfactory
Patna,2018-03-15,Very Poor
Visakhapatnam,2017-12-02,Moderate
Thiruvananthapuram,2020-03-09,Satisfactory
Kochi,2020-03-09,Moderate
Kolkata,2019-09-11,Good
Thiruvananthapuram,2020-04-13,Satisfactory
Talcher,2018-08-17,Satisfactory
Bengaluru,2018-12-16,Moderate
Visakhapatnam,2018-03-23,Moderate
Amaravati,2019-05-16,Satisfactory
Thiruvananthapuram,2018-10-14,Satisfactory
Brajrajnagar,2019-01-03,Very Poor
Amritsar,2018-10-30,Moderate
Patna,2018-02-14,Very Poor
Chennai,2018-05-27,Satisfactory
Mumbai,2018-08-11,Satisfactory
Visakhapatnam,2018-10-06,Moderate
Kolkata,2020-04-10,Satisfactory
Brajrajnagar,2019-10-02,Moderate
Thiruvananthapuram,2017-09-06,Satisfactory
Chennai,2017-03-19,Moderate
Kolkata,2018-11-21,Very Poor
Kolkata,2018-10-02,Moderate
Bhopal,2020-02-11,Moderate
Talcher,2019-06-10,Moderate
Hyderabad,2018-07-20,Good
Visakhapatnam,2018-06-16,Moderate
Ahmedabad,2015-04-25,Poor
Lucknow,2015-05-21,Moderate
Visakhapatnam,2018-12-26,Poor
Guwahati,2019-11-03,Moderate
Bengaluru,2015-08-14,Poor
Hyderabad,2017-12-03,Moderate
Chennai,2016-05-12,Moderate
Bengaluru,2019-12-31,Satisfactory
Talcher,2019-05-12,Moderate
Gurugram,2018-05-02,Moderate
Ahmedabad,2015-05-08,Moderate
Ahmedabad,2018-07-01,Very Poor
Amaravati,2018-01-07,Poor
Gurugram,2020-06-26,Moderate
Ahmedabad,2020-06-25,Satisfactory
Chennai,2015-12-15,Moderate
Hyderabad,2020-01-28,Moderate
Ahmedabad,2018-03-04,Severe
Amaravati,2020-03-28,Satisfactory
Ahmedabad,2019-10-21,Poor
Hyderabad,2015-12-23,Moderate
Mumbai,2019-11-24,Moderate
Patna,2019-07-24,Satisfactory
Amritsar,2020-03-30,Satisfactory
Gurugram,2016-05-23,Poor
Hyderabad,2016-10-23,Moderate
Delhi,2015-05-13,Very Poor
Thiruvananthapuram,2017-09-27,Satisfactory
Kolkata,2018-04-11,Satisfactory
Lucknow,2019-10-14,Poor
Mumbai,2018-09-05,Satisfactory
Delhi,2019-05-07,Very Poor
Lucknow,2015-08-30,Satisfactory
Mumbai,2019-03-15,Moderate
Amaravati,2018-01-30,Moderate
Patna,2019-08-17,Satisfactory
Hyderabad,2016-01-09,Poor
Coimbatore,2019-11-01,Good
Jorapokhar,2019-09-12,Moderate
Mumbai,2019-03-12,Moderate
Guwahati,2019-06-21,Satisfactory
Jaipur,2017-07-06,Moderate
Jaipur,2019-07-15,Satisfactory
Chennai,2017-05-02,Satisfactory
Hyderabad,2017-05-04,Moderate
Delhi,2020-01-19,Poor
Patna,2017-10-31,Satisfactory
Coimbatore,2019-11-21,Satisfactory
Gurugram,2018-07-16,Satisfactory
Thiruvananthapuram,2019-05-26,Good
Mumbai,2019-08-13,Satisfactory
Jaipur,2020-02-22,Moderate
Visakhapatnam,2018-07-03,Satisfactory
Patna,2016-12-25,Severe
Thiruvananthapuram,2018-06-18,Satisfactory
Gurugram,2016-12-24,Severe
Lucknow,2018-01-16,Very Poor
Guwahati,2019-03-31,Poor
Gurugram,2016-04-01,Very Poor
Jaipur,2019-03-27,Moderate
Delhi,2018-02-28,Poor
Patna,2020-05-16,Moderate
Hyderabad,2016-04-20,Moderate
Hyderabad,2020-06-23,Satisfactory
Visakhapatnam,2019-03-03,Satisfactory
Delhi,2019-12-06,Severe
Jaipur,2020-02-01,Moderate
Lucknow,2018-04-18,Poor
Guwahati,2020-06-07,Good
Thiruvananthapuram,2018-01-24,Moderate
Gurugram,2019-07-24,Moderate
Gurugram,2020-04-30,Moderate
Shillong,2020-05-07,Good
Visakhapatnam,2019-07-19,Moderate
Hyderabad,2019-02-13,Moderate
Lucknow,2018-01-17,Very Poor
Mumbai,2018-09-07,Satisfactory
Jorapokhar,2017-07-26,Good
Amritsar,2019-11-01,Very Poor
Jorapokhar,2019-03-15,Moderate
Delhi,2019-05-04,Moderate
Lucknow,2018-01-14,Severe
Gurugram,2018-12-08,Very Poor
Gurugram,2016-10-29,Very Poor
Amaravati,2019-07-01,Good
Lucknow,2016-01-12,Very Poor
Chennai,2019-03-23,Satisfactory
Amritsar,2019-04-04,Moderate
Jorapokhar,2018-07-11,Satisfactory
Guwahati,2020-03-27,Poor
Amaravati,2019-10-28,Satisfactory
Bengaluru,2017-08-01,Moderate
Jaipur,2019-07-04,Satisfactory
Hyderabad,2015-05-14,Moderate
Visakhapatnam,2016-12-13,Moderate
Ahmedabad,2019-07-07,Severe
Coimbatore,2020-03-11,Satisfactory
Delhi,2018-05-16,Moderate
Thiruvananthapuram,2020-01-25,Satisfactory
Visakhapatnam,2019-06-11,Satisfactory
Bengaluru,2018-02-22,Satisfactory
Bengaluru,2019-05-15,Satisfactory
Guwahati,2020-03-04,Satisfactory
Guwahati,2020-01-18,Very Poor
Guwahati,2019-06-28,Good
Delhi,2017-01-26,Very Poor
Hyderabad,2017-08-24,Satisfactory
Delhi,2016-07-21,Poor
Jorapokhar,2020-04-30,Moderate
Chennai,2016-06-17,Moderate
Hyderabad,2015-11-19,Moderate
Hyderabad,2019-12-04,Moderate
Brajrajnagar,2019-03-15,Moderate
Patna,2016-09-09,Moderate
Patna,2017-02-07,Very Poor
Chennai,2019-02-02,Satisfactory
Jaipur,2017-08-15,Moderate
Bengaluru,2018-01-23,Moderate
Thiruvananthapuram,2018-08-19,Satisfactory
Aizawl,2020-05-14,Good
Chennai,2016-05-11,Moderate
Ahmedabad,2019-11-04,Severe
Bengaluru,2019-08-14,Satisfactory
Ahmedabad,2018-10-24,Severe
Talcher,2020-06-19,Good
Hyderabad,2017-01-01,Moderate
Visakhapatnam,2019-06-19,Moderate
Talcher,2020-02-07,Moderate
Bengaluru,2017-03-30,Satisfactory
Jaipur,2018-10-31,Poor
Amaravati,2020-02-29,Satisfactory
Amaravati,2019-04-05,Satisfactory
